Ranking (Top 100) for the queries in Queries.txt in the format:
query_id Q0 doc_id rank Lucene_score system_name

hurricane isabel damage:

2 Q0 Soyuz_(rocket_family) 84 0.033601765 LuceneNoStopNoStem
2 Q0 Tropical_Storm_Franklin_(2005) 85 0.033601765 LuceneNoStopNoStem
2 Q0 Astronomy 86 0.03320566 LuceneNoStopNoStem
2 Q0 2003_Atlantic_hurricane_season 87 0.031169392 LuceneNoStopNoStem
2 Q0 2017_North_Indian_Ocean_cyclone_season 88 0.0309287 LuceneNoStopNoStem
2 Q0 Hurricane_Ioke 89 0.0309287 LuceneNoStopNoStem
2 Q0 Waterspout 90 0.0309287 LuceneNoStopNoStem
2 Q0 2005_Atlantic_hurricane_season 91 0.029946584 LuceneNoStopNoStem
2 Q0 Japan_Meteorological_Agency 92 0.029946584 LuceneNoStopNoStem
2 Q0 Vorticity 93 0.029700045 LuceneNoStopNoStem
2 Q0 Atlantic_Oceanographic_and_Meteorological_Laboratory 94 0.029401544 LuceneNoStopNoStem
2 Q0 Atmospheric_sounding 95 0.029401544 LuceneNoStopNoStem
2 Q0 Dropsonde 96 0.029401544 LuceneNoStopNoStem
2 Q0 Hurricane_Erika_(2003) 97 0.02934154 LuceneNoStopNoStem
2 Q0 Hurricane_Kate_(2003) 98 0.02934154 LuceneNoStopNoStem
2 Q0 Map_projection 99 0.028175939 LuceneNoStopNoStem
2 Q0 Hurricane_Marilyn 100 0.02766347 LuceneNoStopNoStem

green energy canada:

3 Q0 Mechanical_energy 1 0.32049534 LuceneNoStopNoStem
3 Q0 United_States_Department_of_Energy 2 0.2674667 LuceneNoStopNoStem
3 Q0 Canada 3 0.20289552 LuceneNoStopNoStem
3 Q0 Atlantic_Canada 4 0.18397379 LuceneNoStopNoStem
3 Q0 Ontario 5 0.1791704 LuceneNoStopNoStem
3 Q0 Turboprop 6 0.17540519 LuceneNoStopNoStem
3 Q0 Hydro-Qu%C3%A9bec 7 0.15608484 LuceneNoStopNoStem
3 Q0 Taipei_101 8 0.1393784 LuceneNoStopNoStem
3 Q0 Hamilton,_Ontario 9 0.13767971 LuceneNoStopNoStem
3 Q0 Thermal_radiation 10 0.1273622 LuceneNoStopNoStem
3 Q0 Nova_Scotia 11 0.1174347 LuceneNoStopNoStem
3 Q0 Latent_heat 12 0.11023545 LuceneNoStopNoStem
3 Q0 Weather_radar 13 0.10698682 LuceneNoStopNoStem
3 Q0 Sensible_heat 14 0.105897725 LuceneNoStopNoStem
3 Q0 Heat 15 0.10431309 LuceneNoStopNoStem
3 Q0 Saint_Lawrence_River 16 0.09487337 LuceneNoStopNoStem
3 Q0 Lake_Erie 17 0.09300361 LuceneNoStopNoStem
3 Q0 Climate 18 0.09297736 LuceneNoStopNoStem
3 Q0 Hail 19 0.092303164 LuceneNoStopNoStem
3 Q0 Hurricane_Sandy 20 0.09200487 LuceneNoStopNoStem
3 Q0 Heat_engine 21 0.083091035 LuceneNoStopNoStem
3 Q0 Ocean 22 0.079722434 LuceneNoStopNoStem
3 Q0 Air_pollution 23 0.07925458 LuceneNoStopNoStem
3 Q0 Maine 24 0.0791554 LuceneNoStopNoStem
3 Q0 Michigan 25 0.07892108 LuceneNoStopNoStem
3 Q0 New_England 26 0.07843841 LuceneNoStopNoStem
3 Q0 Hurricane_Michael_(2000) 27 0.077342615 LuceneNoStopNoStem
3 Q0 Snowsquall 28 0.076228455 LuceneNoStopNoStem
3 Q0 Pittsburgh 29 0.075968005 LuceneNoStopNoStem
3 Q0 Pascal_(unit) 30 0.075503424 LuceneNoStopNoStem
3 Q0 Global_warming 31 0.07509771 LuceneNoStopNoStem
3 Q0 Georgian_Bay 32 0.074513376 LuceneNoStopNoStem
3 Q0 Gulf_of_Mexico 33 0.07417675 LuceneNoStopNoStem
3 Q0 Annapolis,_Maryland 34 0.07063297 LuceneNoStopNoStem
3 Q0 Thunderstorm 35 0.07038516 LuceneNoStopNoStem
3 Q0 China 36 0.06996666 LuceneNoStopNoStem
3 Q0 Snow 37 0.06809814 LuceneNoStopNoStem
3 Q0 Japan 38 0.06761497 LuceneNoStopNoStem
3 Q0 Flood 39 0.06662339 LuceneNoStopNoStem
3 Q0 Electricity 40 0.0658586 LuceneNoStopNoStem
3 Q0 Great_Plains 41 0.06484871 LuceneNoStopNoStem
3 Q0 Hurricane_Irene 42 0.06407638 LuceneNoStopNoStem
3 Q0 Tornado 43 0.06372649 LuceneNoStopNoStem
3 Q0 1932_Bahamas_hurricane 44 0.06330632 LuceneNoStopNoStem
3 Q0 Kennedy_Space_Center 45 0.062992975 LuceneNoStopNoStem
3 Q0 Canadian_Hurricane_Centre 46 0.060176205 LuceneNoStopNoStem
3 Q0 Amtrak 47 0.059829053 LuceneNoStopNoStem
3 Q0 Florida 48 0.059381954 LuceneNoStopNoStem
3 Q0 West_Virginia 49 0.05917152 LuceneNoStopNoStem
3 Q0 Indonesian_Agency_for_Meteorology,_Climatology_and_Geophysics 50 0.059020665 LuceneNoStopNoStem
3 Q0 Season 51 0.058686633 LuceneNoStopNoStem
3 Q0 Vices_%26_Virtues 52 0.058686633 LuceneNoStopNoStem
